快手ID,昵称,性别,简介,城市
wfwf995520,琳琳，贵州遵义,女,"本人琳琳，来自贵州省遵义市，单位秀峰演绎文化传媒，承接各种大中小型文艺演出，舞台搭建，音响出租，灯光，大屏，开业庆典，新婚庆典，贺寿，广告宣传，场地布置等等庆典活动，联系微信电话同号18722828211.微商勿扰。我从小热爱音乐，热爱舞台，没有受过专业训练，唱歌跳舞是我生活中的家常便饭，如果好的舞蹈作品我会学习来给大家显示，但不会模仿任何人，不喜勿喷，真心交友，诚实做人,开心的面对每一天，不一样的幸福就在你身边，感谢快手平台，感谢所有朋友的支持。",贵州 黔南布依族苗族自治州
zww33096,朱歪歪🌟东山再起,男,"别再问我哪的了！贵州铜仁德江！

不怕万人阻挡，只怕自己投降！
大号被峰了！48万人有没有谁还记得我
🐧466115931 ❤️：zw19990229",贵州 铜仁市
STX1314520123,江小白🦄冲刺十万,男,"感谢快手官方热门推荐🙏🙏
分享正能量情感语录❤
每天持续更新📺
关注我你会收获很多❤
你若成功了  吃青菜那叫养身
你若失败了   吃青菜那就寒酸
——这不是鸡汤    这是现实🦄🦄🦄🦄",贵州 毕节市
mt1144778899,＠阿家军☞酷比涛涛,男,"🙆她在关注你哦！
我叫涛涛吖

😃😃😃互粉必回

看脸互粉

诚信互赞，有赞必回



关注大号：@阿家军☞酷比尴尬

来啊加我QQ:  1008611

每天更新，希望你们能喜欢",贵州 毕节市
WWW3434344,潮車工坊 AMG,男,"感谢快手官方 热爱快手❤
一个️热爱车的小伙❤️
谢谢大家🙏一直在努力❤️",贵州 贵阳市
zyu201314,沫凡吖（分享热歌）,男,"👤他在关注你哦
感谢快手官方
每天给你们分享好听的歌喔 确定不关注我嘛😅
qQ：977757527 （视频制作、火花）",贵州 贵阳市
y6666299,王者荣耀亦辰（全能皮）,男,"努力了不一定成功🙂

不努力一定不成功😏",贵州 铜仁市
ql1058741935,过____客184,男,"不在乎别人怎么喜欢你，主要是怕你喜欢别人
我是
贵州兴义贞丰县，附近的",贵州 黔西南布依族苗族自治州
guihuhu999,鬼胡胡丶,男,"❤️团队招女生 小姐姐(带薪，限都匀本地)❤

❤电商合作❤

威：xiage3030（备注来意）",贵州 黔南布依族苗族自治州
ks88886888ks,尘枫🌠刺激战场,女,我想天天上热门,贵州 六盘水市
,小雨姐姐哎,女,"她在关注你哦💓


只为逗你们一笑 开心每一天  形象不重要❤只要你们开心就好


廋身+V:  xy18212798821💃


比你辛苦的人还有很多 你凭什么抱怨自己累👊",贵州
Fuxingchanyuan,小僧心知（每晚八点直播）,男,"感谢快手官方为大家提供的正能量平台

每天中午13:00直播 诵 经
        晚上20:00直播 互 动

V➕: sxz72225044

贵州省遵义市播州区西来古寺
贵州省遵义市播州区复兴禅院",贵州 遵义市
MYD0503-,抱走丹吧~🍥,女,"💨



              


                                                    言出必行",贵州
zhiyinlin1314156,盘州随风机车俱乐部,男,"贵州省盘州市
    喜欢机车的给个关注，天下摩友是一家

本店保养维修。实体店各种国产进口机车

谢谢，


        V
15519526968
         感谢快手官方",贵州 六盘水市
YGK888888,恩爱夫妻【大山生活】,男,"记录我们一家简简单单的山里生活
拍拍风景和我们日常生活不炒不作

我们V信【QQ954422173】备注哦
想看捉野生鱼完整视频的关注我们
小号👉快手搜索:飞飞【山里渔民】",贵州 遵义市
yx-5201314-,现场拍客♥苍天不老松,男,一身传授社会月历工作经验，助他人完成事业梦想，用所积累的经验成就一个个成功人士，就如苍天大树护卫着一片深林。,贵州 贵阳市
,梅姐的农村生活,女,"❤我是爱你们的梅姐❤

❤快手不老，陪你们到老❤

❤️媳妇未❤️:  xiaoyouloveyoulong(备注来意）


❤拍的视频不怎么好，请勿喷，谢谢亲爱的们支持❤

❤心中留善，口中留德❤",贵州 毕节市
VIP-888888,龙杰君👑,男,"👨他正在关注你哦！

尊师：云南阿超

 私人vx：lzj2273335493
   QQ号：2273335493
      
   欢迎加入龙杰君的爱豆们！❤️，群聊号码：725718609
            
          对我好的人，用心记着我会珍惜！❤️",贵州 贵阳市
q793037244,王者荣耀王宇轩（小鲁班）,女,"支持快手正能量！
本命英雄:小鲁班  反二闪回旋推创始人
是一个超级露娜迷
语录这东西，听不懂是幸运，听得懂是遭遇
没有小号！！
允许转载视频 拒绝冒充！！
转载每条视频都记得艾特原创哦！",贵州 遵义市
YingGege_,莹oK❗️,女,.                            好好生活 慢慢相遇,贵州
ms658888,新农村美墅,男,"❤️感谢快手平台让我们彼此相遇
❤胃x     xya-521  （备注来意）
    ❤️提供乡村建房别墅图纸
    ❤️感谢大家一直以来的支持与信任
    ❤️不会添加和私信任何人  谨防被骗",贵州 贵阳市
tdj17844082303,please-抱紧虢嬷✨,女,"有事加我


🐧🐧  242233407


守护二嘎✌陪二嘎长大✌

 🍃
""再烫手的水还是会凉
 再饱满的热情还是会退散
 再爱的人也许会离开
 所以你要乖 要长大
 不再张口就是来日方长
 而要习惯人走茶凉


三不笑

🍀不笑残疾人       不笑穷人      不笑农村人

 ​爱官方   爱官方
爱官方  爱官方",贵州 黔东南苗族侗族自治州
zyj17685133328,張燁謹💕,男,你知不知道有一种没有脚的鸟.只能一直飞.直到死亡,贵州 安顺市
H5203026,紫蝶：：,女,"感谢🙏快手APP提供的绿色平台
感谢🙏宝宝们的支持和关注～～～大号

AD__801594556---------美衣关注大号

V👗
Hhz20202",贵州 遵义市
XP999996,果蔬雕刻～100w～雨弟,男,"感谢快手官方平台🙏️

卫❤️abc85935668cod

雕刻只是业余爱好，并非专业，喜欢就请支持+关注，我们可能就会有故事😘

贵州，遵义，习水，身高1.70，89年

今年目标，希望能遇到一个👫真心相爱的👫老婆。
别问我会对你多好！只能告诉你，你有多爱我？我就对你有多好？😘😘",贵州 遵义市
yychm11231025,＠你的叶洋《不忘初心》✌,男,不在！,贵州 毕节市
qqas520131420,暖言🇨🇳（刺激战场）,男,"💘快手不倒
💘陪你到老
💘感谢有你
💘一直都在
💓感谢官方给我带来的绿色平台
💓QQ：2370641195
💗一直有一个主播梦-你愿意陪我完成吗
💕不签约任何公司勿扰
💓QQ群欢迎加入32师暖家军群542658705",贵州 毕节市
JiangMu9892,江木《农村段子手》,男,"🌟老大一男
🌟ID就是微信
🌟2019，继续努力
🌟每天虽然累，但真的很开心
🌟当我剃光头的时候 故事才刚开始",贵州
,家用多功能料理机,男,爱生活，更爱美人，联系方式私信，微信a690789902,贵州 安顺市
DI725134,《云南☞荣少》,男,感谢官方给我这个平台，，，💔💔💔,贵州 贵阳市
hff18685979922,汉服 哥舒如歌    -,女,"汉服同袍
！！！


🌴🌴🌴.",贵州 黔西南布依族苗族自治州
wt516920mcy,『清醒』￡,男,日子还长 别在失望！,贵州
,123伦哥,男,来互相伤害😃     玩游戏的时候叫你噢,贵州 六盘水市
,心痛的感觉mpSDEG6K,男,爱不是陪伴，而是一种牵挂的心,贵州 六盘水市
w15885509053,再↘tmd酷一回≠←_←,男,快手不倒，陪你到老。,贵州
xiuxiyuxi,💁山咔咔🙋妹子🙋,女,不求一生荣华富贵，但愿一世家人安康,贵州 贵阳市
zengzhuo520,曾哥🤔K歌达人,男,唱歌🎤聊天，百事通。广告设计制作,贵州 贵阳市
,人生无常，喜怒哀乐,男,"本人有饲养野鸡，出售野鸡公鸡150,母鸡130,需要的联系本人，",贵州 毕节市
a14727674791,啊国340,男,本人喜欢记录生活，喜欢真心交朋友。,贵州 毕节市
A18285795228,安 三 多  ✨,男,"《三多》《3多》目前  手表   多😍 🏆
Vx+18590363927",贵州 铜仁市
kxh3145416968,（ '   行  ' ）,男,qq：3145416968,贵州 安顺市
LIYAQIU1396,秋哥–,男,颜,贵州 毕节市
