快手ID,昵称,性别,简介,城市
zuonibadegege,泥巴哥（卖泥便宜）,男,"想买便宜史莱姆 学生文具关注我就对了

直播时间 

周一到周五 17点到19点 

周六周日   9点到12点

客服v  wenjuge001",辽宁 阜新市
Bly18524655767,大连碧流河水库,男,感谢快手感谢平台。碧流河水库是大连市最大的水源地，地处辽宁省普兰店市，庄河市和盖州市的交界处，鳌黄鱼。 大花鲢。 草鱼。鲫鱼。  鲤鱼。 青鱼。  河虾。马口鱼。昌鱼。碧流河淡水鱼渔业公司常年批发碧流河各种野生鱼。诚信经营。诚信服务。质量保证。欢迎你们来做客。vx电话同步☎️18524655767,辽宁 大连市
AAA1112A,善解小波一枚,男,"感谢快手绿色平台正能量

喜欢我们手艺人能给个支持吗

vx:13889251382",辽宁 沈阳市
JGCQ88888888,李有财 [新型农用工具],男,"客服大姐大V❤ 18842995159同步
客服姐大姐V❤ 15542937170同步
                         户外直播 现场讲解神器功能
不断给你们研发最新农用工具🛠

感谢快手赐予平台：我是农民 我要为农民发明省时省力高效率节省劳动力的农用工具
欢迎您进来一起探讨农用器具",辽宁 葫芦岛市
,姐妹公社1,女,"教搭配。   每天下午2点直播
      3号V：18642987606优先通过
      4号V：15668995321优先通过
      以上号切勿重复添加⚠️谢谢谢谢
感谢朋友们支持与信任，佛系卖家",辽宁 葫芦岛市
DDD123666521,宁缺毋滥➡️宁宁,女,"宁宁本名：李惠宁
宁宁出生：1990-05-19
宁宁身高：178cm
宁宁星座：金牛座
宁宁血型：A
宁宁微信：nn339486179
快手小号：ln339486179

本人不像别人索要任何红包！请大家谨防受骗！

宁宁位置：（兴隆台百特二楼雅致街23号）",辽宁
bqnz666888,A强哥银行处置车,男,"☞每天11点-晚上6点 直播看车讲车聊手续
❤️看车WX：13704040965
👥 TeL:19802423099
🙏🏻感谢快手官方平台 
🗣讲一些有关于银行处置🚗的知识",辽宁 沈阳市
w707390662,雨姐时尚,女,"感谢快手🙏感谢官方🙏🙏支持正能量～谢谢老铁们支持🙏🙏🙏感恩相遇感谢支持感谢陪伴💖💖💖

          1号V 13840205458🈵

👉👉2号V   +13252865458

    ♥♥♥每天不定时直播+关注我们的故事就开始啦🌞🌞🌞",辽宁 沈阳市
Hong911224,老班长💃女鞋,男,"感谢快手官方给予我们这些平凡人一个发展的舞台。🙏小黄车 我的小店 咨询



❤️5号：clb1111890

❤️8号：clb99666

❤️16号：hong150527",辽宁 沈阳市
xuhuan777888,东北二姐环环,女,"主播80后 身高160米  体重53公斤 

三个穿云箭加V

V信xiaoyi119120🌹

我的唯一快手小号@环兵世界huanhuan888777🌹

东北二姐环环每晚7:00-9:00是直播时间🌹

主要以唱歌和聊天为主🌹

属于绿色直播间🌹

加V❤的老铁们二姐没有时间闲聊，没有回复还请谅解🌹

感谢快手官方搭建的平台🙏🏻🙏🏻🙏🏻",辽宁 鞍山市
xx5757577,欣欣女神/完美健身二百W,女,"正能量健身，打造健康完美身材💪💪💪💪

每晚9-11点直播，白天健身直播随缘

声明：本人不主动加任何人微信，小心骗子

👄铁粉马甲：xxxxxxx守护欣欣（114）

👄求一个终身守护，挚爱一生的人

👄新浪围博：欣欣女王吖",辽宁 营口市
shejishi8888888,世平设计,男,"🍃 感谢官方！让我认识很多朋友！       

🍃v：zhuanyedaiz

🍃为了大家直观体验各类设计，关注我带你了解！",辽宁
Xiaobudingbaba,小布丁（才艺泰迪）,男,"小布丁     泰迪          小帅哥
小贝         泰迪         布丁媳妇
太子         泰迪         布丁大儿子
奶茶         泰迪         布丁二儿子   去汪星球了
巧克力     泰迪         布丁三儿子
泡芙         泰迪         布丁四儿子
欧文         博美         威廉的儿子
你可以不爱，请不要伤害！
微:xbdxbd002",辽宁 沈阳市
,鞋子狂人「孟大叔」,男,"大叔是个八零后 喜欢分享女鞋不定期晚上七点半开播不要相信私信你们的人14V❤19802457927 7V❤15640240890",辽宁 沈阳市
YY7777788,盈儿欧尼💕.,女,"直播号：y6699222
👚👕👗：najie662（非本人回复 不闲聊）
 
x",辽宁 葫芦岛市
king552200,7 - king,女,"加油 努力 做最好的自己💪

 🌸直播时间：早10-12   晚9-11

 🍃新浪微博：7个king 

⚠️从不主动发任何人私信

⚠️从不主动添加任何人联系方式

⚠️更不会索取红包 谨防受骗‼️",辽宁 阜新市
,🌸王先生的施小姐,女,"VX💋💋15303490654

别的女生追你的时候，我很想听到你说：对不起，我有女朋友了，我很爱她💑💑💑",辽宁 辽阳市
,我只在乎你790201,男,"感谢快手平台～结交更多朋友！WX,15040996818",辽宁 葫芦岛市
a13478140999,奉天丝雀会馆-林子,男,"花鸟鱼虫、带你走进满族八旗子弟的生活
V❤️13478140999
提倡人工繁殖、拒绝野外捕捉！真正的玩家都是爱鸟人、只有贪心的吃货和亏心的放生才是鸟类一大天敌！
丝雀种类哪里多、丝雀会馆找林哥、
林哥那里藏？沈阳万柳塘！
沈阳万柳塘花鱼宫7号档口奉天丝雀会馆、欢迎您的到来！",辽宁 沈阳市
xiaoyeting111,小ａ婷,女,"新手上路请多指教
V❤️ Congbuhouhui21",辽宁 本溪市
Z13889746543,迪迪萌犬屋🤗,女,"感谢老铁们一直以来的关注与支持，感谢你们的陪伴
喜欢的老铁可以家V🆕交流（私信不回）
V：13130151199",辽宁 鞍山市
,鞍山静一水族，欢子,男,感谢快手平台大力支持，承接全国发货，批发零售。以小型热带鱼孔雀鱼为主，喜欢私聊我v❤:18241274123,辽宁 鞍山市
guxiang13840666257,🐰三生景观艺术坊🐰,男,感谢快手平台让我体味人生的承载，亲情的陪伴！景观人，满眼世界，敢于创造，勇于拼搏！拥有并珍藏最美好的欣慰和快乐！V13840666257！,辽宁 锦州市
feier1209,东霓nnn💃🏻,女,"EX团队真诚邀您加入
合作/入团    VX：EXAI123

大眼霓宝宝❤️
身高：167， 体重：48kg
撒娇卖萌爱唱歌🎤
vibo：Sarah_东霓",辽宁 大连市
LZXX1008,LZ无人机空中直播,男,"广交无人机爱好者，航拍无人机威信：liuzhen024518
每天2:00准时起飞，空中直播空投娃娃撩美女。游各大景点户外景区直播，喜欢交全国各地的朋友。
     不要相信任何私信，私信你的都是骗子，谨防上当受骗，打造良好绿色网络生态。
     感谢快手这个平台给我一个普通人表现的机会，我会继续努力。
     永远相信天道酬勤，2019目标，冲刺50万！一直努力从未停止过脚步。",辽宁 抚顺市
